  1632     3.78040     281.71372     282.26110     283.03040     284.82447     287.64307     290.66967     295.05322       0.28655       0.28663       0.28703       0.28926       0.29871       0.31233       1.53510       0.20902
  1680     3.82680     280.39074     283.03839     283.31663     284.16141     287.01941     290.59179     295.02100       0.28822       0.28805       0.28795       0.28964       0.29859       0.31214       4.01276       0.25036
  1728     3.87320     283.04960     285.20849     285.12277     285.14465     286.72436     290.49493     294.98877       0.28571       0.28597       0.28686       0.28948       0.29842       0.31196       5.40309       0.35829
  1776     3.91960     284.19249     286.24730     286.19080     286.16183     286.85871     290.40141     294.95610       0.28262       0.28292       0.28422       0.28849       0.29819       0.31177       5.27711       0.37943
  1824     3.96610     285.89333     284.31251     284.79180     285.86152     287.06811     290.32399     294.92244       0.28214       0.28228       0.28317       0.28768       0.29798       0.31159       1.60851       0.29629
  1872     4.01250     284.43437     284.62592     284.75615     285.23712     286.94262     290.25266     294.88875       0.28495       0.28462       0.28447       0.28766       0.29781       0.31140       3.71096       0.32536
  1920     4.01250     288.30103     287.70691     287.25267     286.50376     286.95885     290.18062     294.85506       0.28775       0.28729       0.28654       0.28789       0.29764       0.31122       5.23262       0.54814
  1968     4.05890     291.19499     289.69153     289.32166     288.49045     287.50761     290.12665     294.82137       0.28544       0.28554       0.28602       0.28800       0.29747       0.31104       4.24280       0.66750
  2016     4.10540     290.88999     289.63435     289.45349     289.00070     288.14755     290.10656     294.78767       0.28485       0.28495       0.28549       0.28800       0.29731       0.31086       4.11731       0.61735
  2064     4.15180     287.23060     287.07819     287.64738     288.55675     288.59159     290.11372     294.75398       0.28533       0.28536       0.28572       0.28812       0.29718       0.31068       1.10693       0.39982
  2112     4.19820     279.46120     282.65806     283.60830     285.69518     288.32465     290.12568     294.72029       0.29209       0.29109       0.28908       0.28877       0.29708       0.31050       2.26322       0.19212
  2160     4.24460     282.33987     281.84557     282.39708     283.95981     287.47994     290.10612     294.68660       0.29265       0.29212       0.29107       0.28992       0.29702       0.31033       1.74210       0.22314
  2208     4.29110     286.11854     283.61335     283.73064     284.29884     286.80118     290.04791     294.65291       0.29563       0.29482       0.29307       0.29112       0.29701       0.31015       1.98590       0.33544
  2256     4.33750     290.48145     287.38629     286.87487     286.05805     286.66717     289.97260     294.61922       0.29775       0.29711       0.29541       0.29252       0.29704       0.30998       3.70742       0.60976
  2304     4.33750     289.85291     288.35822     288.26637     287.86146     287.17476     289.91213     294.58553       0.29753       0.29714       0.29611       0.29384       0.29712       0.30982       2.90218       0.55441
  2352     4.32860     287.17020     286.43930     286.66462     287.16786     287.57789     289.88029     294.55183       0.29845       0.29772       0.29636       0.29478       0.29724       0.30965       2.58291       0.40315
  2400     4.31960     289.85770     288.32978     288.02735     287.51317     287.68936     289.85967     294.51814       0.30075       0.30033       0.29896       0.29586       0.29739       0.30949       3.91174       0.57676
  2448     4.31070     289.96978     288.13183     288.23132     288.33333     288.05762     289.85118     294.48445       0.32179       0.31926       0.31288       0.29930       0.29760       0.30933       1.04930       0.53589
  2496     4.30180     287.53187     286.34601     286.62415     287.26648     288.15944     289.85555     294.45076       0.33531       0.33311       0.32728       0.30991       0.29826       0.30917       1.02267       0.41994
  2544     4.29290     290.38062     288.97339     288.58135     287.92188     288.10688     289.85571     294.41707       0.32408       0.32399       0.32313       0.31681       0.29965       0.30903       4.46886       0.64156
